Quota,temp_2,vento_10,vento_50,vento_75,vento_100,vento_125,vento_150,dens_50,dens_75,dens_100,dens_125,dens_150,prod_50,prod_75,prod_100,prod_125,prod_150,weib_50,weib_75,weib_100,weib_125,weib_150,onshore,Dist_cp,lat,long,id_cella,Shape_Area,dist_AT_km,dist_AAT_km,dist_linea_km
358.0,12.8813450813,4.28627715358,6.82964283035,7.35535283735,7.65958140917,7.74043139524,7.75456002228,543.678571289,732.83043192,897.889574707,997.064853864,1051.32857791,3426.54715402,3333.95286691,3833.30163325,0.0,0.0,1.40456998348,1.3304400444,1.27324998379,0.0,0.0,1.0,1.565,45.643,13.852,700039,2023178.94599,0.2999407159341227,2.737093390608685,0.3142301824208824
408.0,12.4046538353,4.15990428672,6.94232997923,7.47499431756,7.77245282665,7.85809569977,7.87929427479,530.377997489,719.715138881,880.222429618,977.938996931,1032.20000518,3508.90143694,3419.45429408,3917.97816147,0.0,0.0,1.47148001194,1.38811004162,1.32431995869,0.0,0.0,1.0,2.69,45.643,13.871,700040,2023178.94599,1.1745836962846996,3.7670794645407764,0.2851488880218992
637.0,11.9080050469,3.90459428454,6.94533426614,7.50567855554,7.82061428966,7.92810288725,7.96634715574,492.730000279,676.90256829,831.471710868,929.065998117,984.671767608,3546.23999023,3506.01284738,3987.18959243,0.0,0.0,1.55562996864,1.46090996265,1.38872003555,0.0,0.0,1.0,4.008,45.642,13.889,700041,2023178.80375,2.5653657183242986,5.000143341809475,1.105760216183763
3.0,14.9991429329,3.08498429321,4.24332426331,4.47201713891,4.60593716189,4.63486425831,4.63019140969,97.4870287371,118.580856236,135.029857683,143.816142334,153.401573307,1264.85714286,1240.5157094,1663.22653171,0.0,0.0,1.70805001259,1.65986001492,1.61610996723,0.0,0.0,1.0,3.591,45.687,13.052,700844,2023178.94599,0.49944709346213206,17.17465570924466,0.45070595458752166
1.0,15.2329066276,3.25060427605,4.35261715079,4.53475713183,4.62880712982,4.63935574269,4.62534716585,108.235570958,127.059143712,140.33957244,147.253427804,156.236001554,1357.6714216,1284.19714844,1683.4799991,0.0,0.0,1.69707000256,1.65467000008,1.61603999138,0.0,0.0,1.0,2.293,45.687,13.071,700845,2023179.08822,0.15347623769312416,16.086567664845287,0.06439050452506181
0.0,15.9559977531,4.35615427187,4.69458288642,4.72693571296,4.73076859235,4.7030599721,4.6683600078,142.551142962,150.20814277,155.878857021,159.10171378,166.284001651,1644.79570661,1439.48570801,1745.45183634,0.0,0.0,1.64802002907,1.61757004261,1.58450996876,0.0,0.0,1.0,1.456,45.685,13.107,700847,2023178.94599,1.3936771020861396,14.349647525888345,0.10976370374184116
0.0,15.9939988137,4.49196286562,4.76711712679,4.78741712152,4.7805243156,4.74455715136,4.70473571176,150.538142665,157.669429635,162.856713797,165.773571115,172.650225591,1709.30285645,1495.5257115,1784.28571548,0.0,0.0,1.64083003998,1.6081199646,1.57342004776,0.0,0.0,1.0,2.573,45.685,13.125,700848,2023179.08822,2.564814538431019,13.499592292295459,0.42402459453875196
0.0,15.6989067077,4.84780002337,6.00230712594,6.31236716405,6.5271999952,6.62337574289,6.66225570783,500.560003627,619.206282017,730.818429478,809.360856655,860.97089226,2742.65858677,2601.8042885,3058.16714186,0.0,0.0,1.21684002876,1.16744995117,1.13336002827,0.0,0.0,1.0,0.965,45.66,13.763,700883,2023179.08822,1.076807434597396,5.1038221003951225,1.076807434597396
114.0,15.409942913,4.68605711737,6.25517856903,6.63465431294,6.86510999124,6.9365757091,6.95944855044,516.039574289,660.54957387,789.555427595,870.19856808,921.273022481,2978.47572545,2859.13999302,3272.13918327,0.0,0.0,1.21684002876,1.16744995117,1.13336002827,0.0,0.0,1.0,1.208,45.659,13.781,700884,2023178.94599,1.3737755844884745,3.901941752986295,1.3737755844884745
128.0,14.8839562417,4.59081711007,6.48937143352,6.91928430869,7.16089000909,7.2208671172,7.23259572915,523.370711984,685.907424665,825.102858259,908.109999163,959.376892,3187.11143276,3084.89570033,3496.48040916,0.0,0.0,1.2877099514,1.22476005554,1.18023002148,0.0,0.0,1.0,2.242,45.658,13.799,700885,2023179.08823,1.5932858774614163,2.5668379518702786,1.5982301218142807
302.0,14.1952994346,4.33949140943,6.6550214503,7.14969572662,7.42766571747,7.49178287042,7.50039717686,512.421854074,689.138859026,841.020570871,930.483426897,983.367002591,3341.95427595,3272.96285435,3694.87959423,0.0,0.0,1.37267005444,1.29699003696,1.24056005478,0.0,0.0,1.0,1.884,45.658,13.817,700886,2023179.08822,0.7700258279785321,1.2791890743465661,0.7700258279785321
357.0,12.9430053711,4.24169571912,6.76222145205,7.27957003374,7.58706142818,7.66930429491,7.69048716496,503.418285296,678.853570243,834.250002302,929.505574149,984.981129444,3431.68858119,3374.1171303,3826.55285674,0.0,0.0,1.44667005539,1.36600995064,1.30315995216,0.0,0.0,1.0,0.492,45.657,13.835,700887,2023178.94599,0.18197423358861786,0.7371415665092954,0.23431576723890987
382.0,12.5096018791,4.31459284539,6.813935746,7.33881140996,7.66826856812,7.77174859567,7.80732430228,491.685142264,660.669284319,814.577571568,910.446004185,966.601116749,3464.75285993,3429.57857561,3896.1377545,0.0,0.0,1.49705004692,1.41736996174,1.35256004333,0.0,0.0,1.0,0.991,45.656,13.854,700888,2023179.08822,0.21701846734020364,1.8913007784097928,0.22170418042201687
385.0,12.1853564262,4.22582854499,6.82866570912,7.37058712302,7.70980428282,7.82513853906,7.87089715792,469.422571289,638.202284319,789.666567662,883.199572056,938.371096989,3495.79715402,3481.08712891,3938.27897999,0.0,0.0,1.55039000511,1.46432995796,1.3948700428,0.0,0.0,1.0,2.402,45.655,13.872,700889,2023179.08822,1.4346646299035322,3.2209744475674333,1.367731430638601
3.0,15.1384943009,3.20452428278,4.21726425343,4.40446003215,4.51153856012,4.53198426705,4.52481716034,99.0514288417,116.190142578,129.258143572,136.425715158,145.201753839,1251.10714286,1190.83713658,1613.60897949,0.0,0.0,1.68125998974,1.64104998112,1.60154998302,0.0,0.0,1.0,4.271,45.7,13.053,701693,2023178.94599,0.9467126469599442,16.207417984359143,0.4630766782468526
1.0,15.3908026695,3.64091713709,4.36915997681,4.48300716738,4.54329288095,4.54691001312,4.5321642999,112.557143537,124.825429217,134.060142142,139.275713728,147.292121381,1381.70143345,1255.7700007,1622.66571518,0.0,0.0,1.65910005569,1.62704002857,1.59244000912,0.0,0.0,1.0,3.256,45.7,13.072,701694,2023179.08822,1.1213254400257893,15.065210266799665,0.2869685728558348
0.0,15.9711015701,4.44998711764,4.71071000211,4.71704430161,4.695487165,4.64676287048,4.59894286013,143.274856149,149.433570592,153.816858189,156.120429391,162.955042468,1647.06000628,1423.01428153,1743.63306212,0.0,0.0,1.6489700079,1.61103999615,1.57062995434,0.0,0.0,1.0,4.529,45.697,13.144,701698,2023179.08822,4.490344990239741,11.570740099414182,1.8301744983223784
1.0,15.7828562736,4.82021569177,5.17769855318,5.21241568939,5.22123859573,5.20872858749,5.200267114,234.159714146,251.667286412,267.531712995,280.378857701,297.334690833,2107.9257115,1932.73428013,2195.48857322,0.0,0.0,1.49284005165,1.4458899498,1.39652001858,0.0,0.0,1.0,5.351,45.687,13.4,701712,2023179.08823,5.520737228089299,15.936805450491299,4.467937674509216
1.0,15.7888997078,4.86048711589,5.23745574631,5.27158285815,5.27883288685,5.26962283247,5.26446287613,252.7579985,271.783715018,288.686144322,302.409142508,317.994142144,2147.61715262,1974.2228404,2276.38346899,0.0,0.0,1.46175003052,1.41672003269,1.37047994137,0.0,0.0,1.0,5.945,45.687,13.418,701713,2023178.94599,6.032055048892368,15.871683014624896,4.21882776441134
1.0,15.8026068688,4.90107714362,5.2908728455,5.32681570847,5.33536858653,5.32377859464,5.31624002311,265.058999198,284.872426549,302.089715611,315.717714042,330.319614383,2190.09570312,2014.62999023,2313.53857023,0.0,0.0,1.45710003376,1.4109300375,1.3644900322,0.0,0.0,1.0,6.789,45.686,13.436,701714,2023179.08822,6.880030002041527,15.135599383599168,3.9784530496772184
109.0,15.0823963165,4.29686139849,6.2251128307,6.62121713418,6.857742845,6.93990288465,6.96545573072,447.063712158,586.757571359,712.738853306,798.589856864,856.075430644,3096.07714844,3038.34998326,3393.07081772,0.0,0.0,1.31619000435,1.2440700531,1.19172000885,0.0,0.0,1.0,0.731,45.673,13.764,701732,2023179.08822,0.4615067294858886,4.242750046663703,0.4615067294858886
280.0,14.8560951233,4.50682570661,6.38960854287,6.79642139662,7.02822426793,7.09945143138,7.11640139794,485.435998465,635.426428083,767.580430525,853.78271017,907.893290637,3170.6757115,3083.01569894,3446.27061284,0.0,0.0,1.29366004467,1.22993004322,1.18412995338,0.0,0.0,1.0,1.049,45.672,13.782,701733,2023178.94599,0.8237061717022983,3.148283822753035,0.8291747711353598
357.0,14.2583983421,4.32704717505,6.5606571744,7.01014998169,7.25315285161,7.31623716529,7.33247427752,472.250286377,631.683140346,768.928859933,855.491424944,911.291380889,3334.22858538,3264.65427874,3631.56918507,0.0,0.0,1.3859000206,1.30457997322,1.24664998055,0.0,0.0,1.0,2.323,45.671,13.8,701734,2023179.08823,0.3266349816241989,2.0540377857638528,0.3625592960779175
325.0,13.0450480461,3.94244712735,6.59114715411,7.11236717379,7.40861141957,7.48633573318,7.51352284903,440.210999163,606.977427107,752.852713518,843.74714195,901.545300552,3407.90143694,3385.08429827,3765.69918407,0.0,0.0,1.48473000526,1.38862001896,1.31902003288,0.0,0.0,1.0,2.475,45.67,13.818,701735,2023179.08822,0.32386962383496176,0.9588094941998752,0.18246971675515244
389.0,12.5523446083,3.95497429649,6.59421003104,7.15127572597,7.4917085623,7.59560428406,7.63822425199,412.832285505,573.914146205,721.65414202,813.840860352,873.096229412,3396.67285156,3430.76857003,3849.68367586,0.0,0.0,1.5641399622,1.46563994884,1.38698995113,0.0,0.0,1.0,1.68,45.67,13.836,701736,2023178.94599,0.2924870889153018,0.2924870889153018,0.34948421355319215
375.0,12.2258537292,3.93648715915,6.56764143008,7.14777430934,7.52266714371,7.65100000944,7.70757430525,395.382429304,549.295713867,695.391144461,787.02828697,845.944165597,3365.56284877,3450.96001116,3884.60387934,0.0,0.0,1.61091005802,1.51749002934,1.43637001514,0.0,0.0,1.0,1.887,45.669,13.855,701737,2023179.08822,1.1268290680438795,1.752045777137627,0.6719869183474221
5.0,15.1036923408,3.43532712748,4.20337288143,4.3573928476,4.44626999819,4.4594471359,4.44903568076,97.8204861503,111.892714129,122.899000105,128.942715332,137.11385656,1235.10714286,1154.47856376,1572.02449089,0.0,0.0,1.67251002789,1.63131999969,1.59045004845,0.0,0.0,1.0,5.256,45.713,13.054,702542,2023178.80375,1.9145820834608087,15.249592795798554,0.17283805287933834
0.0,15.9373476982,4.4288528881,4.67421571692,4.67397855811,4.64272144743,4.58528285213,4.53423286355,138.340572056,144.202714303,148.327285662,150.429428031,159.576920343,1613.28142439,1386.49428781,1705.88163225,0.0,0.0,1.66210997105,1.61979997158,1.57298994064,0.0,0.0,1.0,6.519,45.709,13.164,702548,2023178.80375,6.5122105076899395,9.623801750010747,3.852001015602383
0.0,15.7702935219,4.5501200029,4.84281428504,4.84949856317,4.82599000663,4.78504568915,4.75735283593,164.706570975,174.719856288,183.209857143,190.033001465,206.175241335,1772.82142857,1570.55999442,1879.66163235,0.0,0.0,1.61240005493,1.55779004097,1.49705004692,0.0,0.0,1.0,6.584,45.704,13.309,702556,2023178.80375,6.36202471328756,10.511436418298645,3.857006074717964
1.0,15.6719983101,4.69260429696,5.03477430581,5.08192143956,5.11088854202,5.11860143263,5.12572288991,214.454428781,233.500284354,251.7459985,267.601426653,287.093651766,2013.09570312,1859.92142299,2156.15061165,0.0,0.0,1.48720002174,1.43594002724,1.3856099844,0.0,0.0,1.0,4.022,45.7,13.401,702561,2023178.94599,4.169522866124985,14.848953369336767,3.0598971693124617
1.0,15.6794999123,4.72437573619,5.10932715173,5.16028714323,5.19072143444,5.19910571651,5.20486997574,230.448716239,251.747712333,272.137855225,289.773999965,308.703998769,2055.02999442,1900.62285505,2202.16857342,0.0,0.0,1.47133994102,1.42109000683,1.37176001072,0.0,0.0,1.0,4.783,45.699,13.419,702562,2023178.80375,4.937808366418616,14.802353867853162,2.886981564166197
